,Datum,Aantal,Cumsum,Brandstoftype
0,2015-01-01,132,132,CNG
1,2015-02-01,58,190,CNG
2,2015-03-01,85,275,CNG
3,2015-04-01,57,332,CNG
4,2015-05-01,66,398,CNG
5,2015-06-01,94,492,CNG
6,2015-07-01,74,566,CNG
7,2015-08-01,74,640,CNG
8,2015-09-01,65,705,CNG
9,2015-10-01,97,802,CNG
10,2015-11-01,68,870,CNG
11,2015-12-01,86,956,CNG
12,2016-01-01,45,1001,CNG
13,2016-02-01,40,1041,CNG
14,2016-03-01,58,1099,CNG
15,2016-04-01,58,1157,CNG
16,2016-05-01,32,1189,CNG
17,2016-06-01,72,1261,CNG
18,2016-07-01,55,1316,CNG
19,2016-08-01,135,1451,CNG
20,2016-09-01,129,1580,CNG
21,2016-10-01,113,1693,CNG
22,2016-11-01,213,1906,CNG
23,2016-12-01,186,2092,CNG
24,2017-01-01,177,2269,CNG
25,2017-02-01,119,2388,CNG
26,2017-03-01,161,2549,CNG
27,2017-04-01,139,2688,CNG
28,2017-05-01,150,2838,CNG
29,2017-06-01,224,3062,CNG
30,2017-07-01,243,3305,CNG
31,2017-08-01,402,3707,CNG
32,2017-09-01,82,3789,CNG
33,2017-10-01,110,3899,CNG
34,2017-11-01,140,4039,CNG
35,2017-12-01,44,4083,CNG
36,2018-01-01,124,4207,CNG
37,2018-02-01,241,4448,CNG
38,2018-03-01,195,4643,CNG
39,2018-04-01,184,4827,CNG
40,2018-05-01,274,5101,CNG
41,2018-06-01,161,5262,CNG
42,2018-07-01,300,5562,CNG
43,2018-08-01,206,5768,CNG
44,2018-09-01,55,5823,CNG
45,2018-10-01,81,5904,CNG
46,2018-11-01,71,5975,CNG
47,2018-12-01,69,6044,CNG
48,2019-01-01,87,6131,CNG
49,2019-02-01,57,6188,CNG
50,2019-03-01,54,6242,CNG
51,2019-04-01,49,6291,CNG
52,2019-05-01,55,6346,CNG
53,2019-06-01,64,6410,CNG
54,2019-07-01,89,6499,CNG
55,2019-08-01,199,6698,CNG
56,2019-09-01,60,6758,CNG
57,2019-10-01,130,6888,CNG
58,2019-11-01,178,7066,CNG
59,2019-12-01,83,7149,CNG
60,2020-01-01,65,7214,CNG
61,2020-02-01,35,7249,CNG
62,2020-03-01,39,7288,CNG
63,2020-04-01,56,7344,CNG
64,2020-05-01,34,7378,CNG
65,2020-06-01,34,7412,CNG
66,2020-07-01,32,7444,CNG
67,2020-08-01,29,7473,CNG
68,2020-09-01,56,7529,CNG
69,2020-10-01,96,7625,CNG
70,2020-11-01,42,7667,CNG
71,2020-12-01,56,7723,CNG
72,2021-01-01,36,7759,CNG
73,2021-02-01,33,7792,CNG
74,2021-03-01,30,7822,CNG
75,2021-04-01,43,7865,CNG
76,2021-05-01,39,7904,CNG
77,2021-06-01,48,7952,CNG
78,2021-07-01,40,7992,CNG
79,2021-08-01,28,8020,CNG
80,2021-09-01,43,8063,CNG
81,2021-10-01,41,8104,CNG
82,2021-11-01,35,8139,CNG
83,2021-12-01,66,8205,CNG
84,2022-01-01,44,8249,CNG
85,2022-02-01,26,8275,CNG
86,2022-03-01,23,8298,CNG
87,2022-04-01,16,8314,CNG
88,2022-05-01,13,8327,CNG
89,2022-06-01,23,8350,CNG
90,2022-07-01,13,8363,CNG
91,2022-08-01,17,8380,CNG
92,2022-09-01,51,8431,CNG
93,2022-10-01,19,8450,CNG
