,Datum,Aantal,Cumsum,Brandstoftype
0,2015-01-01,3257,3257,Elektriciteit
1,2015-02-01,2337,5594,Elektriciteit
2,2015-03-01,2106,7700,Elektriciteit
3,2015-04-01,2217,9917,Elektriciteit
4,2015-05-01,2513,12430,Elektriciteit
5,2015-06-01,3623,16053,Elektriciteit
6,2015-07-01,3636,19689,Elektriciteit
7,2015-08-01,2885,22574,Elektriciteit
8,2015-09-01,3451,26025,Elektriciteit
9,2015-10-01,4882,30907,Elektriciteit
10,2015-11-01,5665,36572,Elektriciteit
11,2015-12-01,16602,53174,Elektriciteit
12,2016-01-01,1485,54659,Elektriciteit
13,2016-02-01,1647,56306,Elektriciteit
14,2016-03-01,2521,58827,Elektriciteit
15,2016-04-01,2384,61211,Elektriciteit
16,2016-05-01,2334,63545,Elektriciteit
17,2016-06-01,2527,66072,Elektriciteit
18,2016-07-01,2420,68492,Elektriciteit
19,2016-08-01,2415,70907,Elektriciteit
20,2016-09-01,3347,74254,Elektriciteit
21,2016-10-01,3029,77283,Elektriciteit
22,2016-11-01,4108,81391,Elektriciteit
23,2016-12-01,11261,92652,Elektriciteit
24,2017-01-01,3395,96047,Elektriciteit
25,2017-02-01,2357,98404,Elektriciteit
26,2017-03-01,2857,101261,Elektriciteit
27,2017-04-01,2340,103601,Elektriciteit
28,2017-05-01,3188,106789,Elektriciteit
29,2017-06-01,3577,110366,Elektriciteit
30,2017-07-01,3031,113397,Elektriciteit
31,2017-08-01,3016,116413,Elektriciteit
32,2017-09-01,3654,120067,Elektriciteit
33,2017-10-01,3325,123392,Elektriciteit
34,2017-11-01,3710,127102,Elektriciteit
35,2017-12-01,4545,131647,Elektriciteit
36,2018-01-01,4740,136387,Elektriciteit
37,2018-02-01,3585,139972,Elektriciteit
38,2018-03-01,5484,145456,Elektriciteit
39,2018-04-01,3977,149433,Elektriciteit
40,2018-05-01,4816,154249,Elektriciteit
41,2018-06-01,6154,160403,Elektriciteit
42,2018-07-01,4437,164840,Elektriciteit
43,2018-08-01,5173,170013,Elektriciteit
44,2018-09-01,6055,176068,Elektriciteit
45,2018-10-01,4859,180927,Elektriciteit
46,2018-11-01,6569,187496,Elektriciteit
47,2018-12-01,8357,195853,Elektriciteit
48,2019-01-01,6673,202526,Elektriciteit
49,2019-02-01,5444,207970,Elektriciteit
50,2019-03-01,9281,217251,Elektriciteit
51,2019-04-01,6661,223912,Elektriciteit
52,2019-05-01,7673,231585,Elektriciteit
53,2019-06-01,9514,241099,Elektriciteit
54,2019-07-01,7061,248160,Elektriciteit
55,2019-08-01,7770,255930,Elektriciteit
56,2019-09-01,12691,268621,Elektriciteit
57,2019-10-01,7510,276131,Elektriciteit
58,2019-11-01,12364,288495,Elektriciteit
59,2019-12-01,27193,315688,Elektriciteit
60,2020-01-01,10394,326082,Elektriciteit
61,2020-02-01,9674,335756,Elektriciteit
62,2020-03-01,11109,346865,Elektriciteit
63,2020-04-01,6268,353133,Elektriciteit
64,2020-05-01,6821,359954,Elektriciteit
65,2020-06-01,10583,370537,Elektriciteit
66,2020-07-01,14607,385144,Elektriciteit
67,2020-08-01,13647,398791,Elektriciteit
68,2020-09-01,17598,416389,Elektriciteit
69,2020-10-01,19135,435524,Elektriciteit
70,2020-11-01,19762,455286,Elektriciteit
71,2020-12-01,37865,493151,Elektriciteit
72,2021-01-01,16320,509471,Elektriciteit
73,2021-02-01,12170,521641,Elektriciteit
74,2021-03-01,15687,537328,Elektriciteit
75,2021-04-01,16435,553763,Elektriciteit
76,2021-05-01,18079,571842,Elektriciteit
77,2021-06-01,23678,595520,Elektriciteit
78,2021-07-01,20372,615892,Elektriciteit
79,2021-08-01,19546,635438,Elektriciteit
80,2021-09-01,21190,656628,Elektriciteit
81,2021-10-01,21662,678290,Elektriciteit
82,2021-11-01,25496,703786,Elektriciteit
83,2021-12-01,41740,745526,Elektriciteit
84,2022-01-01,24517,770043,Elektriciteit
85,2022-02-01,21071,791114,Elektriciteit
86,2022-03-01,25615,816729,Elektriciteit
87,2022-04-01,23521,840250,Elektriciteit
88,2022-05-01,23407,863657,Elektriciteit
89,2022-06-01,27061,890718,Elektriciteit
90,2022-07-01,22467,913185,Elektriciteit
91,2022-08-01,22673,935858,Elektriciteit
92,2022-09-01,24087,959945,Elektriciteit
93,2022-10-01,7052,966997,Elektriciteit
